service,description,url,phone,url_phone
(211) Food Pantries/Soup Kitchens,"Food pantries in New Jersey provide three to five days of food for home preparation, while soup kitchens offer prepared meals. Before visiting, it is advised to call to confirm hours and availability. Most food pantries require identification, such as a Social Security card or photo ID, and some may request a referral letter from a County Social Service Agency, community organization, or place of worship.",https://nj211.org/food-pantries-and-soup-kitchens,,https://nj211.org/food-pantries-and-soup-kitchens
(NA) Narcotics Anonymous,"{""location"": ""New Jersey"", ""operating_hours"": """", ""prerequisites"": """"}",https://m.narcoticsanonymousnj.org/Meetings/default.asp,,https://www.narcoticsanonymousnj.org/meetings/
(NA) Recovery,"The 988 Lifeline Pre-Chat Survey does not provide specific information regarding its location, operating hours, or prerequisites for use.",https://988lifeline.org/chat,,https://988lifeline.org/chat
211 Code Blue Alert - NJ Warming Centers,"New Jersey Code Blue provides warming centers during severe cold weather to assist individuals experiencing homelessness. The warming centers operate during specific hours depending on the county. For example, hours can be from 6 PM to 9 AM or 7 PM to 7 AM, varying by location.

Identification or other prerequisites are generally not mentioned, but users should check local resources for specific requirements. The services are accessible in various languages, and individuals can reach out to the Statewide Homeless Hotline by calling 211 or 877-652-1148 for further assistance.",https://nj211.org/njcodeblue,8776521148,https://nj211.org/njcodeblue
211-NJ-Homeless Hotline,"The State Homeless Hotline operated by NJ 211 assists individuals experiencing homelessness by connecting them with community resources. The primary contact is the local County Social Service Agency during business hours, while after hours, individuals can reach NJ 211 by dialing 2-1-1 for emergency placements and referrals. There are no specific prerequisites mentioned for using the hotline, but appropriate identification may be required for certain services related to emergency housing assistance. The hotline is available statewide, and contact methods vary based on county-specific Code Blue instructions.",https://nj211.org/initiative/state-homeless-hotline,211,https://nj211.org/initiative/state-homeless-hotline
262-HELP (Crisis Response Service),"**Location:** Bergen County, NJ  
**Operating Hours:** 24 hours a day, 365 days a year  
**Prerequisites:** Services to minors require authorization by a parent or legal guardian. Identification is not specifically mentioned, but there is a fee for evaluations which may be covered by health insurance. No one will be denied services due to an inability to pay.",https://www.bergenresourcenet.org/search/262-help-psychiatric-emergency-screening-program-pesp-care-plus-nj/,2012624357,https://www.bergenresourcenet.org/search/262-help-psychiatric-emergency-screening-program-pesp-care-plus-nj/
2NDFLOOR - for youth (24/7call or text),"2NDFLOOR is a confidential and anonymous support network for New Jersey's youth, providing free, anonymous, and confidential help 24/7 via text or talk at 1.888.222.2228. There are no specific prerequisites mentioned for using this service, but it is noted that the program is required by law to report harm to oneself or others or abuse in life-threatening situations.",https://www.2ndfloor.org/,18882222228,https://www.2ndfloor.org/
2NDFLOOR Helpline,"2NDFLOOR: Youth Helpline of New Jersey provides free, anonymous, and confidential support for youth 24/7. The helpline can be reached by texting or calling 1.888.222.2228. There are no specific prerequisites mentioned for using the service, though it is noted that in cases of life-threatening situations, legal reporting is required.",https://www.2ndfloor.org/,18882222228,https://www.2ndfloor.org/
"4CS of Passaic County, Inc.","The 4Cs of Passaic County is located at 2 Market Street, Suite 300, Paterson, NJ 07501. Their operating hours are Monday to Friday from 8:30 AM to 4:30 PM. There is no specific information regarding prerequisites such as identification requirements mentioned on the website.",https://www.4cspassaic.org/,9736841904,https://www.4cspassaic.org/contact-us/
55 Kip Center,"The 4Cs agency is located at 2 Market Street, Suite 300, Paterson, NJ 07501. Their operating hours are Monday to Friday from 8:30 AM to 4:30 PM. The website does not specify any prerequisites for using their services, such as a form of identification.",https://www.55kipcenter.org/,9736841904,https://www.55kipcenter.org/
