situation,recommendation,relevant,real
"Sandra recently lost her job at a retail store, and with no savings, she’s fallen behind on rent. Her landlord is threatening eviction. Sandra is also a cancer survivor, and the financial stress is causing a recurrence of her anxiety.","Mother Child",n,y
"Sandra recently lost her job at a retail store, and with no savings, she’s fallen behind on rent. Her landlord is threatening eviction. Sandra is also a cancer survivor, and the financial stress is causing a recurrence of her anxiety.","Audrey Hepburn Children’s House",n,y
"Sandra recently lost her job at a retail store, and with no savings, she’s fallen behind on rent. Her landlord is threatening eviction. Sandra is also a cancer survivor, and the financial stress is causing a recurrence of her anxiety.","Dr. Sandra Connolly",n,y
"Carlos, who has autism, struggles with social interactions and has trouble finding a job that accommodates his needs. His parents, who have been supporting him, are concerned about his long-term independence. He’s also feeling isolated due to a lack of peer support.","Mother Child",n,y
"Carlos, who has autism, struggles with social interactions and has trouble finding a job that accommodates his needs. His parents, who have been supporting him, are concerned about his long-term independence. He’s also feeling isolated due to a lack of peer support.","America’s Keswick",n,y
"Carlos, who has autism, struggles with social interactions and has trouble finding a job that accommodates his needs. His parents, who have been supporting him, are concerned about his long-term independence. He’s also feeling isolated due to a lack of peer support.","Frank P Coppolino, MD",n,y
"Aisha escaped an abusive relationship with her two young children and is staying at a friend’s house temporarily. She needs help finding a shelter and childcare services. She is eager to rebuild her life but struggles with depression and trauma.","Mother Child",y,y
"Aisha escaped an abusive relationship with her two young children and is staying at a friend’s house temporarily. She needs help finding a shelter and childcare services. She is eager to rebuild her life but struggles with depression and trauma.","Children’s Aid and Family Services",y,y
"Aisha escaped an abusive relationship with her two young children and is staying at a friend’s house temporarily. She needs help finding a shelter and childcare services. She is eager to rebuild her life but struggles with depression and trauma.","Hyacinth Aids Foundation",n,y
"Kevin was recently laid off from a construction job due to an injury that left him with limited mobility. He needs assistance applying for disability benefits and exploring job retraining programs. The sudden change has left him feeling hopeless and angry.","Frank P Coppolino, MD",n,y
"Kevin was recently laid off from a construction job due to an injury that left him with limited mobility. He needs assistance applying for disability benefits and exploring job retraining programs. The sudden change has left him feeling hopeless and angry.","Section 8 Housing Choice Vouchers",n,y
"Kevin was recently laid off from a construction job due to an injury that left him with limited mobility. He needs assistance applying for disability benefits and exploring job retraining programs. The sudden change has left him feeling hopeless and angry.","OFFICE ON AGING AND DISABILITY SERVICES",y,y
"Maria is a caregiver for her elderly mother, who has dementia. She quit her part-time job to provide full-time care, but now they’re struggling to make ends meet. Maria feels overwhelmed, isolated, and unsure how to navigate social services.","Mother Child",n,y
"Maria is a caregiver for her elderly mother, who has dementia. She quit her part-time job to provide full-time care, but now they’re struggling to make ends meet. Maria feels overwhelmed, isolated, and unsure how to navigate social services.","Alternatives",y,y
"Maria is a caregiver for her elderly mother, who has dementia. She quit her part-time job to provide full-time care, but now they’re struggling to make ends meet. Maria feels overwhelmed, isolated, and unsure how to navigate social services.","Alternatives",y,y
"John aged out of the foster care system and has no stable housing. He’s been couch-surfing with friends but is unsure where to turn next. He has a history of depression and dropped out of school due to mental health challenges.","America’s Keswick",n,y
"John aged out of the foster care system and has no stable housing. He’s been couch-surfing with friends but is unsure where to turn next. He has a history of depression and dropped out of school due to mental health challenges.","America’s Keswick",n,y
"John aged out of the foster care system and has no stable housing. He’s been couch-surfing with friends but is unsure where to turn next. He has a history of depression and dropped out of school due to mental health challenges.","Frank P Coppolino, MD",n,y
"Tanya is a single mother of three who recently lost her housing after a fire. She’s staying in her car and urgently needs shelter. Tanya works part-time, but her income isn’t enough to find new housing. She’s starting to feel hopeless and exhausted.","Mother Child Residential Services",y,y
"Tanya is a single mother of three who recently lost her housing after a fire. She’s staying in her car and urgently needs shelter. Tanya works part-time, but her income isn’t enough to find new housing. She’s starting to feel hopeless and exhausted.","Mother Child",y,y
"Tanya is a single mother of three who recently lost her housing after a fire. She’s staying in her car and urgently needs shelter. Tanya works part-time, but her income isn’t enough to find new housing. She’s starting to feel hopeless and exhausted.","Legal Aid Service",n,y
"Ming has been dealing with untreated schizophrenia and has been evicted multiple times due to conflicts with neighbors. He’s currently homeless and needs help connecting with mental health services and finding stable housing.","Frank P Coppolino, MD",n,y
"Ming has been dealing with untreated schizophrenia and has been evicted multiple times due to conflicts with neighbors. He’s currently homeless and needs help connecting with mental health services and finding stable housing.","HCV Section 8 Waiting List",y,y
"Ming has been dealing with untreated schizophrenia and has been evicted multiple times due to conflicts with neighbors. He’s currently homeless and needs help connecting with mental health services and finding stable housing.","Bodhi Monastery",n,y
"Raj moved to the U.S. two years ago and works as a delivery driver. His hours were recently reduced, and he’s now struggling to afford rent and healthcare. Raj has no local support network and is unsure how to access financial or housing assistance.","Housing Opportunities for Persons with AIDS (HOPWA)",n,y
"Raj moved to the U.S. two years ago and works as a delivery driver. His hours were recently reduced, and he’s now struggling to afford rent and healthcare. Raj has no local support network and is unsure how to access financial or housing assistance.","Legal Aid Service",y,y
"Raj moved to the U.S. two years ago and works as a delivery driver. His hours were recently reduced, and he’s now struggling to afford rent and healthcare. Raj has no local support network and is unsure how to access financial or housing assistance.","Legal Aid Service",y,y
"Denise is a recovering opioid addict with two months of sobriety. She recently got out of a rehabilitation center but has nowhere stable to stay. She’s trying to stay on track but feels tempted to relapse without secure housing and employment opportunities.","America’s Keswick",y,y
"Denise is a recovering opioid addict with two months of sobriety. She recently got out of a rehabilitation center but has nowhere stable to stay. She’s trying to stay on track but feels tempted to relapse without secure housing and employment opportunities.","Section 8 Housing Choice Vouchers",y,y
"Denise is a recovering opioid addict with two months of sobriety. She recently got out of a rehabilitation center but has nowhere stable to stay. She’s trying to stay on track but feels tempted to relapse without secure housing and employment opportunities.","Alternatives",y,y
