index,service,description,url,phone,url_phone
0,(211) Food Pantries/Soup Kitchens,"Food pantries and soup kitchens provide assistance to low-income residents in New Jersey. Locations may vary, and they operate on specific days and hours, so it is recommended to call ahead to confirm availability and hours of operation. To access services, individuals typically need to bring some form of identification, such as a Social Security card, Public Assistance, or photo ID. Additionally, many pantries require a referral letter from a social service agency or community organization to demonstrate the need for assistance.",https://nj211.org/food-pantries-and-soup-kitchens,211,https://nj211.org/food-pantries-and-soup-kitchens
2,(NA) Recovery,"This website is about the 988 Lifeline, which provides a pre-chat survey for individuals seeking support. It does not specify a physical location or operating hours, nor does it mention any prerequisites such as identification requirements for using the service.",https://988lifeline.org/chat,988,https://988lifeline.org/chat
3,211 Code Blue Alert - NJ Warming Centers,"New Jersey Code Blue provides shelter arrangements for unsheltered individuals during severe cold weather events and is activated by county declarations. There are no specific operating hours listed; however, many public libraries, shopping centers, and senior activity centers serve as Warming Centers during their business hours. Additional after-hours and overnight Warming Centers are also provided. There are no prerequisites mentioned for using the service, but contacting the Statewide Homeless Hotline (211 or 877-652-1148) is recommended for further assistance.",https://nj211.org/njcodeblue,8776521148,https://nj211.org/njcodeblue
4,262-HELP (Crisis Response Service),"The 262-HELP Psychiatric Emergency Screening Program (PESP) by Care Plus NJ is located in Paramus, Bergen County. It offers emergency mental health services 24 hours a day, 365 days a year. Individuals requiring services should call (201) 262-HELP (4357). While there is a fee for evaluations, it is often covered by health insurance, and no one will be denied services due to an inability to pay. Parental or legal guardian authorization is required for services provided to minors.",https://www.bergenresourcenet.org/search/262-help-psychiatric-emergency-screening-program-pesp-care-plus-nj/,2012624357,https://www.bergenresourcenet.org/search/262-help-psychiatric-emergency-screening-program-pesp-care-plus-nj/
5,2NDFLOOR - for youth (24/7call or text),"2NDFLOOR is a confidential and anonymous support network for youth in New Jersey, offering free, 24/7 support through texting or talking at 1.888.222.2228. There are no prerequisites for using the service; however, it is noted that they are required by law to report instances of self-harm, harm to others, or abuse to the appropriate authorities.",https://www.2ndfloor.org/,18882222228,https://www.2ndfloor.org/
6,2NDFLOOR Helpline,"2NDFLOOR is a confidential and anonymous support network for New Jersey's youth, providing help 24/7 through text or talk at 1.888.222.2228. There are no prerequisites for using the service, but users should know that in life-threatening situations or cases of self-harm or abuse, the organization is required by law to report to authorities.",https://www.2ndfloor.org/,18882222228,https://www.2ndfloor.org/
7,"4CS of Passaic County, Inc.","4Cs | Childcare Financial Assistance Agency is located at 2 Market Street, Suite 300, Paterson, NJ 07501. The agency operates Monday through Friday, from 8:30 AM to 4:30 PM. There is no specific information provided regarding prerequisites for using their services, such as the need for a form of identification.",https://www.4cspassaic.org/,9736841904,https://www.4cspassaic.org/contact-us/
8,55 Kip Center,"Located at 2 Market Street, Suite 300 (within the Paterson Museum Building), Paterson, NJ 07501. Operating hours are Monday-Friday from 8:30 am – 4:30 pm. There is no specific information provided about prerequisites for using their services, such as identification requirements.",https://www.55kipcenter.org/,9736841904,https://www.55kipcenter.org/
11,A Better Tomorrow Counseling Service,"Location: Turnersville, NJ  
Operating Hours: Daytime and evening appointments available  
Prerequisites: Intake form required for the first visit",https://abettertomorrowcounselingservices.com/,8562664983,https://abettertomorrowcounselingservices.com/
12,A Place For Us Atlantic County Women's Center - Linwood,"Avanzar is located at 927 North Main Street, Building D, Pleasantville, NJ 08232. They are available through a 24-hour hotline at 1-800-286-4184 and can be texted at 609-569-5437. There is no specific information regarding prerequisites such as forms of identification needed to access their services.",https://avanzarnow.org/,8002864184,https://avanzarnow.org/
