Service,Phone Number,Description,Website Link
(211) Food Pantries/Soup Kitchens,211,"Food pantries provide food to low-income residents for home consumption, while soup kitchens offer prepared meals for those in need. To find the nearest food pantry or soup kitchen, individuals can call 2-1-1 or text their zip code to 898-211 for assistance. It's important to call ahead to confirm operating hours and food availability, as these vary by location. Most pantries require some form of identification, such as a Social Security card or photo ID, and many also ask for a referral letter from a social service agency to demonstrate the need for assistance.",https://nj211.org/food-pantries-and-soup-kitchens
(NA) Narcotics Anonymous,,"The website provides a directory for Narcotics Anonymous (NA) meetings in New Jersey. It allows users to find meetings by entering a city or ZIP code. There is no specific information available regarding location, operating hours, or prerequisites (such as identification) for attending these meetings.",https://m.narcoticsanonymousnj.org/Meetings/default.asp
(NA) Recovery,18447322465,Narcotics Anonymous of New Jersey is an organization for recovering drug addicts that provides support through regular meetings. The location and operating hours are not specified on the website. There are no specific prerequisites mentioned for attending the meetings.,https://m.narcoticsanonymousnj.org/
211 Code Blue Alert - NJ Warming Centers,8776521148,"The New Jersey Code Blue program operates when counties declare a Code Blue due to severe cold weather, providing shelter for unsheltered individuals. The locations for Warming Centers include public libraries, shopping centers, and senior activity centers, which are open during business hours. More centers may be listed after hours for overnight shelter. There are no specific prerequisites mentioned for using the services, but individuals can call the Statewide Homeless Hotline at 211 or 877-652-1148 for assistance.",https://nj211.org/njcodeblue
262-HELP (Crisis Response Service),2012624357,"The 262-HELP Psychiatric Emergency Screening Program (PESP), a program of Care Plus NJ, is located in Paramus, NJ. It provides 24-hour emergency mental health services, available all year round. Individuals experiencing a mental health crisis can call (201) 262-HELP (4357) for support. There is a fee for evaluations which may be covered by health insurance; however, no individual will be denied services due to an inability to pay. Parental or legal guardian authorization is needed to provide services to minors.",https://www.bergenresourcenet.org/search/262-help-psychiatric-emergency-screening-program-pesp-care-plus-nj/
2NDFLOOR - for youth (24/7call or text),18882222228,"2NDFLOOR is a confidential and anonymous helpline located at 1 Bethany Road, Building 3, Suite 42, Hazlet, NJ 07730. The operating hours are 24/7, 365 days a year. There are no specific prerequisites for using the helpline, but users must be aware that in life-threatening situations, 2NDFLOOR staff is required by law to report any intent to harm oneself or others.",https://www.2ndfloor.org/about/
2NDFLOOR Helpline,18882222228,"The 2nd Floor Youth Helpline, part of 180 Turning Lives Around, is located in New Jersey and is available to assist youth ages 10-24. It operates 24/7 and offers confidential support via phone, text message, and online communication. There are no prerequisites mentioned for using the helpline, such as forms of identification.",https://180nj.org/get-help/180-programs-services/2nd-floor-youth-helpline/
"4CS of Passaic County, Inc.",9736841904,"4Cs | Childcare Financial Assistance Agency is located at 2 Market Street, Suite 300, Paterson, NJ 07501. The agency operates Monday to Friday from 8:30 AM to 4:30 PM. There is no specific information about prerequisites such as identification required to access their services.",https://www.4cspassaic.org/
7 Cups of Tea,6097712247,"Location: Counseling and Prevention Services, Eickhoff Hall, Room 107, The College of New Jersey, P.O. Box 7718, 2000 Pennington Rd., Ewing, NJ 08628

Operating Hours: Monday - Thursday: 8:30 a.m. – 4:30 p.m., Friday: 8:30 a.m. – 4:00 p.m., Saturday & Sunday: Closed

Prerequisites: There is no required form of identification for using the free online chat/support. For ongoing support from a licensed therapist, users must be aged 18+ and sign up for online therapy.",https://caps.tcnj.edu/resources/self-help-resources/7-cups-of-tea/
A Better Tomorrow Counseling Service,8562664983,"Location: Turnersville, NJ  
Operating Hours: Daytime and evening appointments available  
Prerequisites: An intake form is required for the first visit.",https://abettertomorrowcounselingservices.com/
