Service,Phone Number,Description,Website Link,Responsible Region,Operating Hours,Category
"AA Speaker","","Support group providing speakers and sharing experiences in recovery from alcoholism.","","New Jersey","","Emotional"
"AA Inter Group","","Support group for individuals seeking help with alcohol addiction.","","New Jersey","","Emotional"
"Addiction Services for Children","","Helps children and adolescents dealing with addiction through supportive services.","","Pompton Plains, Passaic County, NJ","","Physical"
"7 Cups of Tea","1-800-799-4889","Online chat support and emotional health resources for individuals in need.","www.7cups.com","New Jersey","24/7","Emotional"
"Acenda Integrated Health","1-800-220-HELP (4357)","Provides mental health services, substance use treatment, and developmental services to individuals and families.","www.acendahealth.org","Gloucester County, NJ","24/7",""
"Recovery","","Support group for individuals working towards sobriety and recovery from substance use disorders.","","New Jersey","","Emotional"
"Food Pantries/Soup Kitchens","","Resources for accessing food assistance and warm meals","","New Jersey","","Physical"
"A Place to Call Home","1-856-218-5725","Supportive housing program for individuals facing homelessness.","www.aplacetocallhome.org","Gloucester County","Monday to Friday, 9 AM - 5 PM",""
"Addictions/Substance Use Disorder Support Groups","","Support groups designed to provide assistance for individuals facing substance use disorders.","","New Jersey","","Social"
"Agape House","908-243-6246","A supportive environment for those in crisis, offering shelter and resources for individuals experiencing homelessness.","www.agapehouse.org","Somerset County","24/7",""
"262-HELP (Crisis Response Service)","","Crisis intervention service providing support for emotional distress and mental health issues.","","New Jersey","",""
"Addiction Treatment Services","(800) 238-2333","Provides support and treatment options for those struggling with addiction.","https://www.nj.gov/humanservices/dmhas/","New Jersey","24/7","Social"
"Access Link Disability Transportation","856-456-3346","Accessible transportation services for individuals with disabilities in New Jersey.","https://www.njtransit.com/accesslink","Gloucester County","Operating Hours vary by service request.",""
"211 Code Blue Alert - NJ Warming Centers","732-873-1245","Provides information about warming centers in New Jersey during cold weather to help prevent homelessness.","www.nj211.org","Somerset","24/7","Environmental"
"Advanced Physical Therapy","","Physical therapy services for rehabilitation and recovery","","Williamstown, Gloucester County, NJ","","Physical"
"2NDFLOOR Helpline","1-888-222-2228","Confidential support and guidance for youth in New Jersey.","https://2ndfloor.org","New Jersey","24/7","Emotional"
"Advance Counseling","201-288-0322","Provides mental health counseling and support services in a compassionate environment.","www.advancecounselingnj.com","Bergen County","Monday to Friday, 9 AM - 5 PM",""
