Service,Phone Number,Description,Website Link,Responsible Region,Operating Hours
Cumberland CARES,800-236-2448,"A 24/7 recovery hotline for addiction and mental health in Cumberland County, NJ.",https://www.cumberlandcountynj.gov/humanservices,"Cumberland County, NJ",24/7
COP2COP - Peer Support,866-267-2267,"Peer support service for law enforcement officers in NJ, providing confidential help.",https://ubhc.rutgers.edu/cop2cop/services.htm,New Jersey,24/7
Cumberland Co. Crisis Center,856-455-5555,"24-hour crisis center for mental health emergencies in Cumberland County, NJ.",https://www.cumberlandcountynj.gov/mental-health-addiction-services,"Cumberland County, NJ",24/7
Division of Mental Health & Addictions Services (DMHAS),800-382-6717,Provides mental health and addiction services across the state of New Jersey.,https://www.state.nj.us/humanservices/dmhas/home/index.html,New Jersey,Not specified
NJ 2nd Floor Youth Helpline,888-222-2228,Confidential support for youth in NJ dealing with emotional and mental health issues.,https://www.2ndfloor.org/,New Jersey,24/7
Reach NJ (Addiction Resource),866-824-2331,A 24/7 addiction recovery hotline for NJ residents offering referrals and support.,https://www.nj.gov/humanservices/reachnj/about/overview/,New Jersey,24/7
Suicide Prevention Hotline (NJ Hopeline),9-8-8,Statewide suicide prevention hotline in New Jersey for people in crisis.,https://njhopeline.com,Nationwide,24/7
The Peer Recovery Warmline,877-292-5588,Peer-to-peer support hotline for recovery from mental health and substance abuse in NJ.,https://www.nj.gov/humanservices/dmhas/resources/peer/,New Jersey,Not specified
VET2VET – Peer Support,866-838-7654,Peer support hotline for veterans in NJ dealing with mental health and transition challenges.,https://ubhc.rutgers.edu/cop2cop/vet2vet.htm,New Jersey,24/7
NJ Addiction Hotline (IME),844-276-2777,A statewide addiction treatment hotline in NJ offering help and referrals.,https://www.state.nj.us/humanservices/dmhas/resources/services/treatment/njsam.shtml,New Jersey,24/7
