Name,Session,Order,Option,Simplicity,Enough Info,Useful Response,Daily Workflow
Participant #1,102,BA,B,Strongly agree,Strongly agree,Strongly agree,Strongly agree
Participant #2,101,AB,A,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree
Participant #3,101,AB,A,Somewhat agree,Strongly agree,Strongly agree,Strongly agree
Participant #4,102,AB,A,Strongly agree,Somewhat agree,Strongly agree,Somewhat agree
Participant #5,103,AB,A,Strongly agree,Strongly agree,Strongly agree,Strongly agree
Participant #6,104,AB,A,Strongly agree,Strongly agree,Somewhat agree,Somewhat agree
Participant #7,105,BA,B,Strongly agree,Strongly agree,Strongly agree,Strongly agree
Participant #8,106,BA,B,Strongly agree,Strongly agree,Somewhat agree,Strongly agree
Participant #9,106,AB,A,Somewhat agree,Somewhat agree,Somewhat agree,Strongly agree
Participant #1,102,BA,A,Strongly agree,Strongly agree,Strongly agree,Strongly agree
Participant #2,101,AB,B,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree
Participant #3,101,AB,B,Strongly agree,Strongly agree,Strongly agree,Strongly agree
Participant #4,102,AB,B,Strongly agree,Strongly agree,Strongly agree,Strongly agree
Participant #5,103,AB,B,Strongly agree,Strongly agree,Strongly agree,Strongly agree
Participant #6,104,AB,B,Strongly agree,Strongly agree,Somewhat agree,Strongly agree
Participant #7,105,BA,A,Strongly agree,Strongly agree,Strongly agree,Strongly agree
Participant #8,106,BA,A,Strongly agree,Somewhat agree,Strongly agree,Strongly agree
Participant #9,106,AB,B,Strongly agree,Somewhat agree,Strongly agree,Strongly agree
