Name,Session,Order,Option,Simplicity,Enough Info,Useful Response,Daily Workflow
Participant #1,207,AB,A,Somewhat agree,Somewhat agree,Strongly agree,Strongly agree
Participant #2,201,BA,A,Strongly agree,Somewhat agree,Somewhat agree,Strongly agree
Participant #3,203,BA,A,Strongly agree,Strongly agree,Strongly agree,Strongly agree
Participant #4,203,BA,A,Strongly agree,Strongly agree,Strongly agree,Strongly agree
Participant #5,206,BA,A,Strongly agree,Strongly disagree,Strongly disagree,Strongly disagree
Participant #6,208,BA,A,Strongly agree,Strongly agree,Strongly agree,Strongly agree
Participant #2,201,BA,B,Somewhat agree,Somewhat disagree,Somewhat agree,Strongly agree
Participant #3,203,BA,B,Strongly agree,Strongly agree,Strongly agree,Strongly agree
Participant #4,203,BA,B,Strongly agree,Strongly agree,Strongly agree,Strongly agree
Participant #5,206,BA,B,Strongly agree,Strongly disagree,Neither agree nor disagree,Neither agree nor disagree
Participant #6,208,BA,B,Strongly agree,Strongly agree,Strongly agree,Strongly agree
Participant #1,207,AB,B,Somewhat agree,Strongly agree,Somewhat agree,Strongly agree
